time,current,voltage
24-05-12 10:45.28,0.361,3.287
24-05-12 10:45.43,0.359,3.286
24-05-12 10:45.58,0.348,3.286
24-05-12 10:46.13,0.372,3.286
24-05-12 10:46.28,0.357,3.286
24-05-12 10:46.43,0.37,3.285
24-05-12 10:46.58,0.379,3.285
24-05-12 10:47.13,0.351,3.285
24-05-12 10:47.28,0.362,3.284
24-05-12 10:47.43,0.362,3.284
24-05-12 10:47.58,0.378,3.284
24-05-12 10:48.13,0.366,3.283
24-05-12 10:48.28,0.375,3.282
24-05-12 10:48.43,0.367,3.282
24-05-12 10:48.58,0.354,3.282
24-05-12 10:49.13,0.384,3.282
24-05-12 10:49.28,0.368,3.282
24-05-12 10:49.43,0.362,3.282
24-05-12 10:49.58,0.383,3.282
24-05-12 10:50.13,0.363,3.282
24-05-12 10:50.28,0.376,3.282
24-05-12 10:50.43,0.373,3.282
24-05-12 10:50.58,0.362,3.282
24-05-12 10:51.13,0.349,3.282
24-05-12 10:51.28,0.391,3.282
24-05-12 10:51.43,0.363,3.282
24-05-12 10:51.58,0.371,3.282
24-05-12 10:52.13,0.364,3.282
24-05-12 10:52.28,0.356,3.283
24-05-12 10:52.43,0.353,3.283
24-05-12 10:52.58,0.344,3.283
24-05-12 10:53.13,0.352,3.283
24-05-12 10:53.28,0.348,3.286
24-05-12 10:53.43,0.324,3.291
24-05-12 10:53.58,0.347,3.293
